from file,column
trading_day_yyyymmdd_performance.csv,daily_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,daily_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,daily_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,daily_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,2day_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,2day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,2day_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,2day_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,3day_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,3day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,3day_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,3day_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,1week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,1week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,1week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,1week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,2week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,2week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,2week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,2week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,4week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,4week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,4week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,4week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,8week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,8week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,8week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,8week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,13week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,13week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,13week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,13week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,26week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,26week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,26week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,26week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,52week_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,52week_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,52week_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,52week_down_ppt_thr_0.3
trading_day_yyyymmdd_performance.csv,from_begin_down_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,from_begin_down_ws_acc_thr_0.3
trading_day_yyyymmdd_performance.csv,from_begin_down_pnl_thr_0.3
trading_day_yyyymmdd_performance.csv,from_begin_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,1day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,1day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,1day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,1day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,2day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,2day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,2day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,2day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,3day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,3day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,3day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,3day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,4day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,4day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,4day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,4day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,5day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,5day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,5day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,5day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,10day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,10day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,10day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,10day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,20day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,20day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,20day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,20day_down_ppt_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,30day_down_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,30day_down_ws_acc_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,30day_down_pnl_thr_0.3
trading_day_yyyymmdd_regime_performance.csv,30day_down_ppt_thr_0.3
