TradingDay,up_acc_thr_0.0,up_num_thr_0.0,up_den_thr_0.0,up_pnl_thr_0.0,up_acc_thr_0.1,up_num_thr_0.1,up_den_thr_0.1,up_pnl_thr_0.1,up_acc_thr_0.2,up_num_thr_0.2,up_den_thr_0.2,up_pnl_thr_0.2,up_acc_thr_0.3,up_num_thr_0.3,up_den_thr_0.3,up_pnl_thr_0.3,up_acc_thr_0.4,up_num_thr_0.4,up_den_thr_0.4,up_pnl_thr_0.4,up_acc_thr_0.5,up_num_thr_0.5,up_den_thr_0.5,up_pnl_thr_0.5,up_acc_thr_0.6,up_num_thr_0.6,up_den_thr_0.6,up_pnl_thr_0.6,up_acc_thr_0.7,up_num_thr_0.7,up_den_thr_0.7,up_pnl_thr_0.7,up_acc_thr_0.8,up_num_thr_0.8,up_den_thr_0.8,up_pnl_thr_0.8,down_acc_thr_0.0,down_num_thr_0.0,down_den_thr_0.0,down_pnl_thr_0.0,down_acc_thr_0.1,down_num_thr_0.1,down_den_thr_0.1,down_pnl_thr_0.1,down_acc_thr_0.2,down_num_thr_0.2,down_den_thr_0.2,down_pnl_thr_0.2,down_acc_thr_0.3,down_num_thr_0.3,down_den_thr_0.3,down_pnl_thr_0.3,down_acc_thr_0.4,down_num_thr_0.4,down_den_thr_0.4,down_pnl_thr_0.4,down_acc_thr_0.5,down_num_thr_0.5,down_den_thr_0.5,down_pnl_thr_0.5,down_acc_thr_0.6,down_num_thr_0.6,down_den_thr_0.6,down_pnl_thr_0.6,down_acc_thr_0.7,down_num_thr_0.7,down_den_thr_0.7,down_pnl_thr_0.7,down_acc_thr_0.8,down_num_thr_0.8,down_den_thr_0.8,down_pnl_thr_0.8
20200102,0.5,12,24,-1.19,0.6,6,10,-0.14999999999999986,1.0,3,3,0.465,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.3870967741935484,24,62,-3.3,0.4594594594594595,17,37,-1.3949999999999998,0.5,13,26,-0.44,0.5,8,16,-0.29500000000000004,0.4444444444444444,4,9,-0.205,0.5,1,2,-0.07,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200103,0.6,33,55,1.2950000000000004,0.4482758620689655,13,29,-1.6250000000000002,0.3333333333333333,4,12,-0.825,0.2222222222222222,2,9,-1.0099999999999998,0.0,0,6,-1.49,0.0,0,2,-0.11,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.03225806451612903,1,31,-4.340000000000001,0.0,0,17,-2.4299999999999997,0.0,0,3,-0.39,0.0,0,1,-0.16,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200106,0.38461538461538464,15,39,0.42499999999999993,0.16666666666666666,4,24,-1.8599999999999999,0.08333333333333333,1,12,-1.5099999999999998,0.14285714285714285,1,7,-0.72,0.0,0,1,-0.18,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.48936170212765956,23,47,-1.78,0.6,21,35,0.034999999999999906,0.8181818181818182,18,22,1.295,0.875,14,16,1.295,0.875,7,8,0.595,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200107,0.5945945945945946,22,37,2.975,0.52,13,25,1.02,0.45454545454545453,10,22,0.44499999999999995,0.4,8,20,0.07499999999999998,0.16666666666666666,2,12,-1.105,0.2,2,10,-0.9950000000000002,0.16666666666666666,1,6,-0.755,0.16666666666666666,1,6,-0.755,0.0,0,3,-0.42,0.5102040816326531,25,49,2.205,0.46153846153846156,18,39,0.875,0.5,13,26,0.665,0.6,6,10,0.245,0.75,3,4,0.145,1.0,1,1,0.02,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200108,0.7391304347826086,17,23,4.579999999999999,0.7142857142857143,10,14,1.8000000000000003,0.875,7,8,0.555,0.8,4,5,0.325,0.6666666666666666,2,3,0.145,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.31746031746031744,20,63,-11.840000000000003,0.29411764705882354,15,51,-9.395000000000001,0.25,8,32,-6.405,0.6363636363636364,7,11,-0.7650000000000001,1.0,6,6,0.74,1.0,5,5,0.55,1.0,4,4,0.515,1.0,3,3,0.335,0.0,0,0,0.0
20200109,0.5423728813559322,32,59,1.2349999999999999,0.5227272727272727,23,44,0.9300000000000002,0.3333333333333333,7,21,-0.895,0.0,0,1,-0.06,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.2962962962962963,8,27,-0.7449999999999999,0.18181818181818182,2,11,-0.43999999999999995,0.18181818181818182,2,11,-0.43999999999999995,0.25,1,4,-0.02500000000000001,0.0,0,3,-0.10500000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200110,0.38235294117647056,13,34,-2.9050000000000007,0.23809523809523808,5,21,-2.5050000000000003,0.13333333333333333,2,15,-2.33,0.16666666666666666,1,6,-0.96,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.6346153846153846,33,52,6.180000000000001,0.6578947368421053,25,38,4.885,0.7142857142857143,20,28,4.1899999999999995,1.0,15,15,3.44,1.0,9,9,1.925,1.0,4,4,0.7650000000000001,1.0,1,1,0.085,0.0,0,0,0.0,0.0,0,0,0.0
20200113,0.8148148148148148,22,27,1.6250000000000002,0.9230769230769231,12,13,1.06,0.8333333333333334,5,6,0.43000000000000005,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1016949152542373,6,59,-6.760000000000001,0.046511627906976744,2,43,-5.285,0.043478260869565216,1,23,-3.185,0.0625,1,16,-2.575,0.0,0,4,-0.77,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200114,0.7755102040816326,38,49,3.26,0.8846153846153846,23,26,2.6100000000000003,0.8461538461538461,11,13,1.4349999999999998,1.0,2,2,0.505,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.40540540540540543,15,37,0.5249999999999999,0.5217391304347826,12,23,1.2149999999999996,0.5,4,8,0.36000000000000004,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
20200115,0.71875,23,32,2.8550000000000004,0.8125,13,16,1.9900000000000002,0.8,4,5,0.49,1.0,1,1,0.035,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.5925925925925926,32,54,3.4099999999999993,0.7714285714285715,27,35,4.720000000000001,0.9130434782608695,21,23,5.1,1.0,3,3,0.7150000000000001,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0
