threshold,trade_type,num_trades,winning_trades,losing_trades,win_rate,avg_win,avg_loss,total_pnl_before_fees,total_pnl_after_fees,total_fees,trade_signals,raw_pnl,pnl_after_fees,total_pnl,avg_pnl_per_trade,sharpe_ratio,max_drawdown,max_drawdown_pct,profit_factor,volatility,calmar_ratio,gross_profit,gross_loss
-0.7,downside,3762,3769,26,0.9696969696969697,0.46035022552401167,0.0,1735.0599999999995,1659.16,75.9,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1659.16,0.4410313662945242,0.9880572051950774,0.03999999999996362,0.0024108585067120557,1161.2517482517483,0.4463621781974142,41479.000000037726,1660.5900000000001,1.4300000000000002
-0.65,downside,4708,4726,30,0.9700509770603228,0.45243652137113843,0.0,2138.215,2043.095,95.12,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2043.095,0.4339624044180119,0.9787878843298505,0.03999999999996362,0.001957814002773426,1161.8494318181818,0.4433671598981164,51077.37500004646,2044.8549999999998,1.76
-0.6,downside,5922,5940,43,0.9685916919959473,0.44424326599326597,0.0,2638.8050000000003,2519.1449999999995,119.66,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2519.1449999999995,0.4253875379939209,0.9722951272270235,0.0500000000001819,0.0019848003985551486,1077.5576923076924,0.43750865974935216,50382.8999998167,2521.485,2.34
-0.55,downside,7331,7366,52,0.9690356022370754,0.43610439858810757,0.0,3212.3449999999993,3063.984999999999,148.36,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3063.984999999999,0.4179491201746009,0.9771197589205415,0.0500000000001819,0.0016318617747861615,1072.3234265734266,0.42773581882769823,61279.69999977705,3066.8450000000003,2.8600000000000003
-0.5,downside,9033,9078,65,0.9680061994907562,0.42889347873981054,0.0,3893.4949999999994,3710.6349999999993,182.86,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3710.6349999999993,0.4107865603896822,0.9732309697343839,0.05999999999994543,0.001616973914166855,1028.8767313019391,0.42208537661085205,61843.9166667229,3714.2450000000003,3.61
-0.45,downside,11187,11242,87,0.9663895593099133,0.41827788649706465,0.0,4702.280000000001,4475.700000000001,226.58,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4475.700000000001,0.40008045052292845,0.9770378275919399,0.07000000000016371,0.0015640011618330877,953.2765957446808,0.4094830714067523,63938.57142842191,4480.4,4.7
-0.4,downside,13793,13867,98,0.9672297542231567,0.40798081776880357,0.0,5657.469999999999,5378.169999999999,279.3,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5378.169999999999,0.3899202494018705,0.9787577029071274,0.07000000000016371,0.0013015579648870106,965.6941704035872,0.39838281552596816,76830.9999998203,5383.745,5.575000000000001
-0.35,downside,16802,16904,123,0.9662540173788835,0.39872308329389494,0.0,6740.015000000001,6399.474999999999,340.54,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],6399.474999999999,0.3808757885965956,0.9767119316958425,0.07000000000152795,0.0010938397290641535,919.1456241032997,0.3899571370396691,91421.07142657589,6406.445,6.970000000000001
-0.3,downside,20448,20576,155,0.9645442097026604,0.38951302488335926,0.0,8014.620000000001,7600.000000000002,414.62,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],7600.000000000002,0.37167449139280134,0.9725197874866481,0.08000000000174623,0.0010526315789703533,857.3380281690141,0.3821767908222681,94999.99999792638,7608.875,8.875
0.0,none,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,[False False False ... False False False],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
