model_id,train_from,train_to,val_from,val_to,test_from,test_to,seq_length,label_number,learning_rate,epochs,batch_size,train_loss,train_mae,val_loss,val_mae,train_up_acc_thr_0.0,train_down_acc_thr_0.0,train_up_acc_thr_0.1,train_down_acc_thr_0.1,train_up_acc_thr_0.2,train_down_acc_thr_0.2,train_up_acc_thr_0.3,train_down_acc_thr_0.3,train_up_acc_thr_0.4,train_down_acc_thr_0.4,train_up_acc_thr_0.5,train_down_acc_thr_0.5,train_up_acc_thr_0.6,train_down_acc_thr_0.6,train_up_acc_thr_0.7,train_down_acc_thr_0.7,train_up_acc_thr_0.8,train_down_acc_thr_0.8,val_up_acc_thr_0.0,val_down_acc_thr_0.0,val_up_acc_thr_0.1,val_down_acc_thr_0.1,val_up_acc_thr_0.2,val_down_acc_thr_0.2,val_up_acc_thr_0.3,val_down_acc_thr_0.3,val_up_acc_thr_0.4,val_down_acc_thr_0.4,val_up_acc_thr_0.5,val_down_acc_thr_0.5,val_up_acc_thr_0.6,val_down_acc_thr_0.6,val_up_acc_thr_0.7,val_down_acc_thr_0.7,val_up_acc_thr_0.8,val_down_acc_thr_0.8,test_up_acc_thr_0.0,test_down_acc_thr_0.0,test_up_acc_thr_0.1,test_down_acc_thr_0.1,test_up_acc_thr_0.2,test_down_acc_thr_0.2,test_up_acc_thr_0.3,test_down_acc_thr_0.3,test_up_acc_thr_0.4,test_down_acc_thr_0.4,test_up_acc_thr_0.5,test_down_acc_thr_0.5,test_up_acc_thr_0.6,test_down_acc_thr_0.6,test_up_acc_thr_0.7,test_down_acc_thr_0.7,test_up_acc_thr_0.8,test_down_acc_thr_0.8
00001,20240929,20241123,20241124,20241130,20241201,20241207,30,10,0.0009,150,32,0.004344410263001919,0.05080609768629074,0.20737268030643463,0.3587844669818878,0.9598021026592455,0.967316153362665,0.9984756097560976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4939759036144578,0.4928571428571429,0.5178571428571429,0.5,0.5061728395061729,0.5466666666666666,0.5384615384615384,0.5892857142857143,0.5384615384615384,0.5789473684210527,0.625,0.5,1.0,0.6,1.0,0.6,1.0,0.5045871559633027,0.4481132075471698,0.4875,0.44805194805194803,0.44,0.47115384615384615,0.4,0.5076923076923077,0.36363636363636365,0.4146341463414634,0.35714285714285715,0.5172413793103449,0.42857142857142855,0.5,0.5,0.5,1.0,0.6
00002,20241006,20241130,20241201,20241207,20241208,20241214,30,10,0.0009,150,32,0.003684925613924861,0.04672901704907417,0.1387423276901245,0.2989142835140228,0.9618033813400125,0.9472407519708914,0.997639653815893,0.9962264150943396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5509259259259259,0.4953271028037383,0.5401459854014599,0.5034013605442177,0.6447368421052632,0.5405405405405406,0.6875,0.5822784810126582,0.625,0.696969696969697,0.6923076923076923,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.4342105263157895,0.5099009900990099,0.4411764705882353,0.5648854961832062,0.47540983606557374,0.6125,0.48717948717948717,0.6938775510204082,0.5,0.8260869565217391,0.6296296296296297,0.8461538461538461,0.7058823529411765,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0
00003,20241013,20241207,20241208,20241214,20241215,20241221,30,10,0.0009,150,32,0.003248954890295863,0.043735321611166,0.16010430455207825,0.3138136863708496,0.9529761904761904,0.9617718446601942,0.9969488939740656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5585106382978723,0.6157024793388429,0.6106870229007634,0.6114285714285714,0.5647058823529412,0.631578947368421,0.509090909090909,0.6774193548387096,0.47058823529411764,0.7666666666666667,0.4583333333333333,0.7777777777777778,0.5714285714285714,0.8,0.4,1.0,0.2857142857142857,1.0,0.5495495495495496,0.3894230769230769,0.5245901639344263,0.36419753086419754,0.5277777777777778,0.3217391304347826,0.5825242718446602,0.2318840579710145,0.5465116279069767,0.16216216216216217,0.5584415584415584,0.09090909090909091,0.5616438356164384,0.0,0.5694444444444444,0.0,0.5507246376811594,0.0
00004,20241020,20241214,20241215,20241221,20241222,20241228,30,10,0.0009,150,32,0.0046392627991735935,0.05281006172299385,0.7819186449050903,0.6342588067054749,0.9529269764634882,0.9573430834856794,0.999195494770716,0.9969488939740656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5763546798029556,0.4185022026431718,0.5789473684210527,0.4161849710982659,0.5714285714285714,0.43703703703703706,0.5847457627118644,0.3877551020408163,0.5978260869565217,0.3181818181818182,0.65,0.2222222222222222,0.6197183098591549,0.17647058823529413,0.5873015873015873,0.10526315789473684,0.5636363636363636,0.0,0.47183098591549294,0.2376237623762376,0.4322033898305085,0.18867924528301888,0.4174757281553398,0.16393442622950818,0.40217391304347827,0.13636363636363635,0.4050632911392405,0.08108108108108109,0.4153846153846154,0.14285714285714285,0.43859649122807015,0.2222222222222222,0.4375,0.0,0.41025641025641024,0.0
00005,20241027,20241221,20241222,20241228,20241229,20250104,30,10,0.0009,150,32,0.004870085511356592,0.053028419613838196,0.5871298313140869,0.5634446740150452,0.9541745134965474,0.9419670128283445,0.9960063897763578,0.993050193050193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6235294117647059,0.3390804597701149,0.5639097744360902,0.3524590163934426,0.5242718446601942,0.38095238095238093,0.4864864864864865,0.3235294117647059,0.43333333333333335,0.4666666666666667,0.40384615384615385,0.42857142857142855,0.4,1.0,0.38235294117647056,1.0,0.41379310344827586,0.0,0.6372093023255814,0.4806201550387597,0.6524064171122995,0.45454545454545453,0.6708860759493671,0.43902439024390244,0.6917808219178082,0.44680851063829785,0.7209302325581395,0.42857142857142855,0.7192982456140351,0.36,0.7596153846153846,0.5384615384615384,0.7741935483870968,0.75,0.782051282051282,1.0
00006,20241103,20241228,20241229,20250104,20250105,20250111,30,10,0.0009,150,32,0.004309409763664007,0.04981283098459244,0.9705139994621277,0.7761861085891724,0.9625918503674015,0.9589131875414182,0.9991554054054054,0.9991525423728813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.573394495412844,0.373015873015873,0.5736842105263158,0.36633663366336633,0.5773809523809523,0.40789473684210525,0.5666666666666667,0.36363636363636365,0.549618320610687,0.3023255813953488,0.5565217391304348,0.3225806451612903,0.5858585858585859,0.21739130434782608,0.6265060240963856,0.2857142857142857,0.6493506493506493,0.25,0.47593582887700536,0.46496815286624205,0.4819277108433735,0.4748201438848921,0.48026315789473684,0.4608695652173913,0.46808510638297873,0.45121951219512196,0.4444444444444444,0.4909090909090909,0.41284403669724773,0.5263157894736842,0.3979591836734694,0.6333333333333333,0.4318181818181818,0.6521739130434783,0.45,0.6923076923076923
00007,20241110,20250104,20250105,20250111,20250112,20250118,30,10,0.0009,150,32,0.005273980088531971,0.054998550564050674,0.8829743266105652,0.7608079314231873,0.950136612021858,0.9595536959553695,0.997457627118644,0.9982517482517482,1.0,0.9988412514484357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4563106796116505,0.427536231884058,0.4883720930232558,0.4036697247706422,0.48322147651006714,0.3626373626373626,0.504,0.3783783783783784,0.5,0.45,0.5609756097560976,0.4146341463414634,0.6086956521739131,0.4375,0.6206896551724138,0.4583333333333333,0.6304347826086957,0.4,0.4471830985915493,0.4931506849315068,0.46502057613168724,0.5,0.5051020408163265,0.547945205479452,0.5117647058823529,0.5652173913043478,0.5071428571428571,0.6551724137931034,0.5,0.6428571428571429,0.4625,0.8571428571428571,0.4426229508196721,1.0,0.4594594594594595,1.0
00008,20241117,20250111,20250112,20250118,20250119,20250125,30,10,0.0009,150,32,0.006365715991705656,0.061524517834186554,0.8080976009368896,0.709369957447052,0.9445234708392604,0.9582111436950147,0.9947871416159861,0.9972577696526508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4664310954063604,0.5306122448979592,0.4566929133858268,0.532258064516129,0.46078431372549017,0.5851063829787234,0.4457831325301205,0.625,0.4153846153846154,0.5555555555555556,0.4117647058823529,0.5777777777777777,0.3855421686746988,0.5555555555555556,0.40625,0.5294117647058824,0.39622641509433965,0.5714285714285714,0.5859872611464968,0.36363636363636365,0.5909090909090909,0.3357142857142857,0.6029411764705882,0.27722772277227725,0.6857142857142857,0.23728813559322035,0.6470588235294118,0.24,0.8,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,0.0
00009,20241124,20250118,20250119,20250125,20250126,20250201,30,10,0.0009,150,32,0.00490113440901041,0.05396353453397751,0.21776379644870758,0.38903898000717163,0.9460552933243426,0.9668313338038109,0.9940476190476191,0.996524761077324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5428571428571428,0.3136094674556213,0.4961832061068702,0.3130434782608696,0.4222222222222222,0.37142857142857144,0.36363636363636365,0.375,0.35,0.45,0.4,0.5833333333333334,0.6,0.6,0.6,1.0,0.25,0.0,0.44206008583690987,0.5380710659898477,0.45,0.5,0.46107784431137727,0.475,0.5,0.45918367346938777,0.49411764705882355,0.43243243243243246,0.5161290322580645,0.3584905660377358,0.5476190476190477,0.2558139534883721,0.59375,0.16129032258064516,0.631578947368421,0.21739130434782608
00010,20241201,20250125,20250126,20250201,20250202,20250208,30,10,0.0009,150,32,0.006230673287063837,0.06044940650463104,0.5930385589599609,0.5865203738212585,0.9484827099505999,0.9516702203269367,0.9938650306748467,0.9904264577893821,1.0,0.9988597491448119,1.0,0.9984520123839009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4541284403669725,0.5518867924528302,0.4521276595744681,0.55,0.4594594594594595,0.5135135135135135,0.4396551724137931,0.49137931034482757,0.4457831325301205,0.4819277108433735,0.4444444444444444,0.40625,0.4523809523809524,0.3,0.5333333333333333,0.3103448275862069,0.6,0.34782608695652173,0.5352697095435685,0.42328042328042326,0.4846938775510204,0.47619047619047616,0.4329268292682927,0.49019607843137253,0.4166666666666667,0.5,0.4090909090909091,0.53125,0.3829787234042553,0.5370370370370371,0.3424657534246575,0.6410256410256411,0.3269230769230769,0.7666666666666667,0.3333333333333333,0.8571428571428571
